Bytes_written    Bytes_read    Elapsed_time    start_time
1448    449252    1.32812    1.5914e+12
4344    453596    5.23193    1.5914e+12
2896    456492    4.61499    1.5914e+12
2896    459388    11.949    1.5914e+12
1448    460836    27.4871    1.5914e+12
1448    462284    15.5701    1.5914e+12
7240    469524    3.70508    1.5914e+12
8688    478212    13.406    1.5914e+12
4344    482556    8.60718    1.5914e+12
1448    484004    108.439    1.5914e+12
16021    500025    11.1489    1.5914e+12
1448    501473    340.647    1.5914e+12
1448    502921    3.42188    1.5914e+12
1448    504369    5.177    1.5914e+12
1448    505817    10.1179    1.5914e+12
1448    507265    2.00391    1.5914e+12
1448    508713    12.3708    1.5914e+12
1448    510161    16.5959    1.5914e+12
1448    511609    24.4651    1.5914e+12
1448    513057    6.66406    1.5914e+12
1448    514505    4.87109    1.5914e+12
1448    515953    4.70898    1.5914e+12
1448    517401    11.5222    1.5914e+12
1448    518849    111.752    1.5914e+12
1448    520297    54.7229    1.5914e+12
2896    523193    34.4531    1.5914e+12
4344    527537    25.7358    1.5914e+12
1436    528973    5.29883    1.5914e+12
1460    530433    -978.375    1.5914e+12
1436    531869    8.26587    1.5914e+12
12    531881    15.1531    1.5914e+12
1436    533317    12.269    1.5914e+12
1448    534765    51.0769    1.5914e+12
1448    536213    31.7778    1.5914e+12
12    536225    5.28296    1.5914e+12
1448    537673    372.204    1.5914e+12
1448    539121    26.9531    1.5914e+12
1448    540569    11.6238    1.5914e+12
13032    553601    14.24    1.5914e+12
1448    555049    0.0429688    1.5914e+12
1448    556497    4.98291    1.5914e+12
1448    557945    22.1309    1.5914e+12
1448    559393    11.939    1.5914e+12
1448    560841    20.447    1.5914e+12
1448    562289    17.606    1.5914e+12
1448    563737    0.0961914    1.5914e+12
1448    565185    1.16895    1.5914e+12
1448    566633    3.65796    1.5914e+12
1448    568081    31.7529    1.5914e+12
1448    569529    2.4292    1.5914e+12
1448    570977    1.05688    1.5914e+12
2896    573873    0.963135    1.5914e+12
1448    575321    0.573975    1.5914e+12
1448    576769    41.239    1.5914e+12
1448    578217    0.0258789    1.5914e+12
1448    579665    0.920898    1.5914e+12
1448    581113    0.928955    1.5914e+12
1448    582561    3.06006    1.5914e+12
1448    584009    0.584961    1.5914e+12
1448    585457    0.875977    1.5914e+12
1448    586905    5.39893    1.5914e+12
1448    588353    1.14697    1.5914e+12
1448    589801    5.87891    1.5914e+12
1448    591249    1.44189    1.5914e+12
1448    592697    0.0710449    1.5914e+12
1448    594145    3.00415    1.5914e+12
1448    595593    0.510986    1.5914e+12
1448    597041    1.104    1.5914e+12
1448    598489    1.01807    1.5914e+12
1448    599937    0.673096    1.5914e+12
93    600030    0.0649414    1.5914e+12
2896    602926    -150.843    1.5914e+12
1448    604374    4.26807    1.5914e+12
1448    605822    1.71509    1.5914e+12
1448    607270    1.40894    1.5914e+12
1448    608718    0.456055    1.5914e+12
1448    610166    9.08105    1.5914e+12
1448    611614    2.07202    1.5914e+12
2896    614510    3.47705    1.5914e+12
2896    617406    3.92212    1.5914e+12
1448    618854    21.103    1.5914e+12
1448    620302    14.8621    1.5914e+12
1448    621750    5.18286    1.5914e+12
10136    631886    3.68604    1.5914e+12
1448    633334    6.62207    1.5914e+12
15928    649262    79.8469    1.5914e+12
1448    650710    6.52588    1.5914e+12
8688    659398    64.4958    1.5914e+12
1448    660846    6.75513    1.5914e+12
1448    662294    37.4639    1.5914e+12
1448    663742    25.1721    1.5914e+12
1448    665190    10.6931    1.5914e+12
5792    670982    0.63208    1.5914e+12
4344    675326    10.1599    1.5914e+12
1448    676774    5.83105    1.5914e+12
4344    681118    23.0879    1.5914e+12
1448    682566    0.0241699    1.5914e+12
2896    685462    12.5    1.5914e+12
7240    692702    -893.912    1.5914e+12
4344    697046    9.84814    1.5914e+12
2989    700035    20.9438    1.5914e+12
1448    701483    177.527    1.5914e+12
2896    704379    9.45801    1.5914e+12
1448    705827    1.85303    1.5914e+12
1448    707275    9.95093    1.5914e+12
2896    710171    0.296875    1.5914e+12
1448    711619    1.64087    1.5914e+12
1448    713067    2.95898    1.5914e+12
1448    714515    9.57397    1.5914e+12
1448    715963    12.7161    1.5914e+12
2896    718859    0.756836    1.5914e+12
